ID,text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
2018-Ar-03054,الدنيا دوارة وكل حاجة بتترد، وكل حاجة أذيت فيها شخص شوفتها بتترد لي بنفس التفاصيل ف وقت ما حد بيأذيني بكون متأكد أنه هيتعرض بنفس الأذى,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-03244,الناس ميتين جوع في ذمتكم الله لاسامحكم,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-00746,مرارة الفقد موجعه غصة الحنين مبكيه رحم الله أرواحا مازال وجع رحيلها يؤلمنا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-00848,البيت كله مكتئب و حاجة الكآبة سيد الموقف خالص يارب هون وعدي الايام علي خير,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-01817,للأمانه تجذبني الأشخاص اللي فيهم غموض وثقل اخ ومايعطون مجال لأي أحد يجذبوني الناس اللي عندهم جانب لطيف بشخصيتهم بس مايطلعونه دايما,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-Ar-01694,@docshayji لان الشعوب مثل الغنم. تبع من تحال لها خوفا من بطش حكامهم,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-00502,@ceec3004 @meryam_alexis حسابه تقفل وانتهى الموضوع 😅,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-912,"""د محمد قواص للجزيرة الولايات المتحدة عاجزة تجاه سورية وروسيا   تعمل على استدراج الغرب لمواجهة عسكرية https://t.co/VOu2dYYo2M""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-03219,@NegmaEbrahim هو مش بياكل وبيشرب خلاص الناس التاني تولع بجاز وسخ مش عارف اخرتها ايه معاه ربنا ينتقم منه,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-Ar-02426,اسألكم بالله خايفين من اياكس ؟ والله لو يدخل مورينهو بتشكيله منطقيه ومايدافع ناكلهم بالخمسه بالراحه ، بس بيجي يدافع وكذا بناكلها صح,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-Ar-02602,الناس مبقاش في قلبها رحمه ولا انسانية يعني ايه واحد يخبط واحد علي البحر يروح مكمل عليه و ماشي وسايبه هو ده انسان ؟! بجد ربنا ينتقم منه,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
